release,distributor,seasons,adjusted_gross
Aquaman,Warner Bros.,holiday season,402704746
Arachnophobia,Walt Disney Studios Motion Pictures,summer,125039223
Are We Done Yet?,Revolution Studios,spring,73500548
Are We There Yet?,Revolution Studios,winter,129798804
Argo,Warner Bros.,fall,179007571
Arlington Road,Sony Pictures Entertainment (SPE),summer,45056242
Armageddon,Walt Disney Studios Motion Pictures,summer,367777256
Armed and Dangerous,Columbia Pictures,summer,43531307
Arrival,Paramount Pictures,holiday season,115511884
Arthur,Warner Bros.,summer,301226241
Arthur 2: On the Rocks,Warner Bros.,summer,38024287
Arthur Christmas,Sony Pictures Entertainment (SPE),holiday season,62084503
As Good as It Gets,Sony Pictures Entertainment (SPE),holiday season,275416153
Assassin's Creed,Twentieth Century Fox,holiday season,45883110
Assassins,Warner Bros.,fall,60303113
At First Sight,Metro-Goldwyn-Mayer (MGM),winter,40704542
Atlantis: The Lost Empire,Walt Disney Studios Motion Pictures,summer,143736567
Atomic Blonde,Focus Features,summer,63576080
Atonement,Focus Features,holiday season,55221462
August Rush,Warner Bros.,holiday season,44546093
August: Osage County,The Weinstein Company,holiday season,47980440
Austin Powers in Goldmember,New Line Cinema,summer,359740898
Austin Powers: International Man of Mystery,New Line Cinema,spring,101301899
Austin Powers: The Spy Who Shagged Me,New Line Cinema,summer,374995491
Australia,Twentieth Century Fox,holiday season,64092563
Author! Author!,Twentieth Century Fox,summer,41562190
Autumn in New York,Metro-Goldwyn-Mayer (MGM),summer,66838589
Avalon,TriStar Pictures,fall,36990870
Avatar,Twentieth Century Fox,holiday season,1046022240
Avatar2022  Re-release,Walt Disney Pictures,fall,26196865
Avatar: The Way of Water,20th Century Studios,holiday season,425068382
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,spring,587527511
Avengers: Endgame,Walt Disney Studios Motion Pictures,spring,1021463870
Avengers: Infinity War,Walt Disney Studios Motion Pictures,spring,821366733
Awakenings,Columbia Pictures,holiday season,111333166
BTS Permission to Dance on Stage - Seoul: Live Viewing,Trafalgar Releasing,spring,7250400
Babe,Universal Pictures,summer,100146700
Baby Boom,United Artists,fall,71856560
Baby Boy,Sony Pictures Entertainment (SPE),summer,49136083
Baby Driver,TriStar Pictures,summer,132625810
Baby Geniuses,Sony Pictures Entertainment (SPE),spring,49596339
Baby Mama,Universal Pictures,spring,85901781
Baby's Day Out,Twentieth Century Fox,summer,34496174
Baby: Secret of the Lost Legend,Walt Disney Studios Motion Pictures,spring,42521323
Babylon,Paramount Pictures,holiday season,9627870
Bachelor Party,Twentieth Century Fox,summer,113001684
Back Roads,Warner Bros.,spring,40624291
Back to School,Orion Pictures,summer,249134340
Back to the Beach,Paramount Pictures,summer,35268329
Back to the Future,Universal Pictures,summer,595928604
Back to the Future Part II,Universal Pictures,holiday season,289588567
Back to the Future Part III,Universal Pictures,summer,206159820
Backdraft,Universal Pictures,summer,172868258
Bad Boys,Sony Pictures Entertainment (SPE),spring,130955977
Bad Boys,Universal Pictures,spring,28123906
Bad Boys II,Sony Pictures Entertainment (SPE),summer,228703932
Bad Boys for Life,Sony Pictures Entertainment (SPE),winter,237124711
Bad Company,Walt Disney Studios Motion Pictures,summer,50970672
Bad Dreams,Twentieth Century Fox,spring,25374483
Bad Girls,Twentieth Century Fox,spring,31242891
Bad Influence,Triumph Releasing Corporation,spring,29671201
Bad Moms,STX Entertainment,summer,142704194
Bad News Bears,Paramount Pictures,summer,51603307
Bad Santa,Dimension Films,holiday season,87200850
Bad Teacher,Sony Pictures Entertainment (SPE),summer,136398284
Balls of Fury,Rogue Pictures,summer,48673073
Bambi1982 Re-release,Walt Disney Studios Motion Pictures,summer,72910000
Bambi1988 Re-release,Walt Disney Studios Motion Pictures,summer,101132118
Bandits,Metro-Goldwyn-Mayer (MGM),fall,70782657
Barbarian,20th Century Studios,fall,43293520
Barbershop,Metro-Goldwyn-Mayer (MGM),fall,127764625
Barbershop 2: Back in Business,Metro-Goldwyn-Mayer (MGM),winter,105480268
Barbershop: The Next Cut,Warner Bros.,spring,68077864
Barnyard,Paramount Pictures,summer,109683082
Basic,Sony Pictures Entertainment (SPE),spring,44208963
Basic Instinct,TriStar Pictures,spring,255468076
Batman,Warner Bros.,summer,620436642
Batman & Robin,Warner Bros.,summer,201771366
Batman Begins,Warner Bros.,summer,322389725
Batman Forever,Warner Bros.,summer,366221912
Batman Returns,Warner Bros.,summer,353344784
Batman v Superman: Dawn of Justice,Warner Bros.,spring,416253844
Battle Creek Brawl,Warner Bros.,summer,32831810
Battle Los Angeles,Sony Pictures Entertainment (SPE),spring,113631303
Battlefield Earth,Warner Bros.,summer,38004882
Battleship,Universal Pictures,summer,86357865
Baywatch,Paramount Pictures,summer,71414028
Be Cool,Metro-Goldwyn-Mayer (MGM),spring,87993757
Beaches,Walt Disney Studios Motion Pictures,holiday season,118570942
Bean,Gramercy Pictures (I),fall,85200515
Beast,Universal Pictures,summer,33757321
Beat Street,Orion Pictures,summer,48791625
Beauty Shop,Metro-Goldwyn-Mayer (MGM),spring,57071619
Beauty and the Beast,Walt Disney Studios Motion Pictures,holiday season,308519553
Beauty and the Beast,Walt Disney Studios Motion Pictures,spring,619937422
Beauty and the Beast2012 3D Release,Walt Disney Studios Motion Pictures,winter,62854528
Beavis and Butt-Head Do America,Paramount Pictures,holiday season,121266477
Because I Said So,Universal Pictures,winter,63157579
Because of Winn-Dixie,Twentieth Century Fox,winter,51255855
Becky,Quiver Distribution,summer,1183679
Bed of Roses,New Line Cinema,winter,36919540
Bedazzled,Twentieth Century Fox,fall,66326183
Bedtime Stories,Walt Disney Studios Motion Pictures,holiday season,156344804
Bee Movie,DreamWorks,fall,184038725
Beethoven,Universal Pictures,spring,117331811
Beethoven's 2nd,Universal Pictures,holiday season,110836004
Beetlejuice,Warner Bros.,spring,190902323
Behind Enemy Lines,Twentieth Century Fox,holiday season,85867697
Belfast,Focus Features,holiday season,7849954
Beloved,Walt Disney Studios Motion Pictures,fall,39103697
Ben-Hur,Paramount Pictures,summer,33277201
Bend It Like Beckham,-,spring,53696690
Benji the Hunted,Walt Disney Studios Motion Pictures,summer,54015888
Benny & Joon,Metro-Goldwyn-Mayer (MGM),spring,48849318
Beowulf,Paramount Pictures,holiday season,120070413
Best Defense,Paramount Pictures,summer,56639987
Best Friends,Warner Bros.,holiday season,114410194
Betrayed,United Artists,summer,66863800
Betsy's Wedding,Walt Disney Studios Motion Pictures,summer,46389164
Better Off Dead...,Warner Bros.,summer,29245186
Beverly Hills Chihuahua,Walt Disney Studios Motion Pictures,fall,132108700
Beverly Hills Cop,Paramount Pictures,holiday season,674465304
Beverly Hills Cop II,Paramount Pictures,summer,413358946
Beverly Hills Cop III,Paramount Pictures,summer,87360569
